pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Mobiquity,UBIQUITY INC,18883,UBIQ,82.35294117647058,14-Jun-2019,2019,182.00,,Media and Information Services (B2B),Hexaware Technologies (BOM: 544362) (Ramakarthikeyan Srikrishna),Business Products and Services (B2B),Commercial Services
Mocon,MOCON INC,7481,MOCO,100.0,22-Jun-2017,2017,182.00,,Electronic Equipment and Instruments,AMETEK (NYS: AME) (David Zapico),Information Technology,Computer Hardware
Health Central,ACCENDRA HEALTH INC,8213,ACH,82.75862068965517,01-Apr-2012,2012,181.30,,Hospitals/Inpatient Services,Orlando Health (Sherrie Sitarik),Healthcare,Healthcare Services
First Security Bank,FIRST SECURITY GROUP INC,164368,FSGI,84.84848484848484,28-Feb-2018,2018,181.04,,Regional Banks,Glacier Bancorp (NYS: GBCI) (Randall Chesler),Financial Services,Commercial Banks
Broadbus Technologies,BROKAT TECHNOLOGIES AG,225240,BROAQ,85.0,08-Sep-2006,2006,181.00,,Other Communications and Networking,Motorola Solutions (NYS: MSI),Information Technology,Communications and Networking
Liberator Medical Holdings,LIBERATOR MEDICAL HLDGS INC,164275,LBMH,85.0,21-Jan-2016,2016,181.00,,Specialty Retail,C. R. Bard (Timothy Ring),Consumer Products and Services (B2C),Retail
LNB Bancorp,LNB BANCORP INC,20297,LNBB,100.0,14-Aug-2015,2015,181.00,,Holding Companies,Northwest Bancshares (NAS: NWBI) (William Wagner),Financial Services,Other Financial Services
Mpg Office Trust,MPG OFFICE TRUST INC,151403,MPG.3,100.0,15-Oct-2013,2013,181.00,,Real Estate Investment Trusts (REITs),Brookfield Properties (Dennis Friedrich),Financial Services,Other Financial Services
SB One Bank,BANK ONE CORP,1998,ONE.1,84.21052631578947,31-Jul-2020,2020,180.80,,Regional Banks,Provident Financial Services (NYS: PFS) (Christopher Martin),Financial Services,Commercial Banks
Ocean Shore Holding,OCEAN SHORE HOLDING CO,161798,OSHC,88.0,30-Nov-2016,2016,180.70,,National Banks,OceanFirst Financial (NAS: OCFC) (Christopher Maher),Financial Services,Commercial Banks
Traffic.com,TRAFFIC.COM INC,165077,TRFC,100.0,07-Mar-2007,2007,180.50,,Information Services (B2C),HERE Technologies,Consumer Products and Services (B2C),Media
Ceres Systems,PERLE SYSTEMS LTD,8490,3PERL,84.61538461538461,01-Feb-2018,2018,180.00,,Internet Software,Mercury Systems (NAS: MRCY),Information Technology,Software
EKOS International,EOS INTERNATIONAL INC,12366,EOSI,85.71428571428572,08-Jul-2013,2013,180.00,,Surgical Devices,BTG,Healthcare,Healthcare Devices and Supplies
Enterasys Networks,ENTERASYS NETWORKS INC,15354,ETS.1,100.0,31-Oct-2013,2013,180.00,,Network Management Software,Extreme Networks (NAS: EXTR) (Charles Berger),Information Technology,Software
Jazz Technologies,JAZZ TECHNOLOGIES INC,166303,TSEM1,100.0,19-Sep-2008,2008,180.00,,General Purpose Semiconductors,Tower Semiconductor (TAE: TSEM) (Russell Ellwanger),Information Technology,Semiconductors
LOLA Energy,GLOBAL ENERGY GROUP INC,143952,GENG,83.33333333333334,24-Jul-2017,2017,180.00,,Energy Exploration,Rice Energy (Toby Rice),Energy,"Exploration, Production and Refining"
Replay Technologies,EPL TECHNOLOGIES INC,31352,EPTG,91.42857142857143,08-Mar-2016,2016,180.00,,Multimedia and Design Software,Intel (NAS: INTC) (Brian Krzanich),Information Technology,Software
Riviera Holdings,RIVIERA HOLDINGS CORP,31634,RVHLQ,100.0,26-Feb-2015,2015,180.00,,Hotels and Resorts,Las Vegas Convention And Visitors Authority - Lvcva,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Synergy Pharmaceuticals,SYNERGY PHARMACEUTICALS INC,175064,SGYPQ,100.0,06-Mar-2019,2019,180.00,,Other Healthcare Services,Bausch Health Companies (TSE: BHC) (Joseph Papa),Healthcare,Healthcare Services
TransTexas Gas,TRANSTEXAS GAS CORP,29873,3TTXGQ,100.0,06-Apr-2005,2005,180.00,,Energy Exploration,Icahn Enterprises (NAS: IEP),Energy,"Exploration, Production and Refining"
KBK Capital,KBK CAPITAL CORP,30306,KBKC,100.0,31-May-2015,2015,179.73,Corporate Divestiture,Consumer Finance,UMB Financial (NAS: UMBF),Financial Services,Other Financial Services
Artio Global Investors,ARTIO GLOBAL INVESTORS INC,180658,ART,100.0,21-May-2013,2013,179.70,,Asset Management,Aberdeen Asset Management (William Rattray),Financial Services,Capital Markets/Institutions
Owens Realty Mortgage,OWENS REALTY MORTGAGE INC,18261,ORM,100.0,29-Mar-2019,2019,179.30,,Consumer Finance,Ready Capital (NYS: RC) (Thomas Capasse),Financial Services,Other Financial Services
Tesco,TESCO CORP,20747,TESO,100.0,15-Dec-2017,2017,178.99,,Oil and Gas Equipment,Nabors Industries (NYS: NBR) (Anthony Petrello),Energy,Energy Equipment
First South Bancorp,FIRST SOUTH BANCORP INC/VA,64584,FSBK,90.47619047619048,01-Nov-2017,2017,178.69,,Regional Banks,Carolina Financial (Jerold Rexroad),Financial Services,Commercial Banks
North Valley Bancorp,NORTH VALLEY BANCORP,63814,NOVB,100.0,06-Oct-2014,2014,178.40,,Regional Banks,TriCo Bancshares (NAS: TCBK) (Richard Smith),Financial Services,Commercial Banks
Eastern Virginia Bankshares,EASTERN VA BANKSHARES INC,66148,EVBS,87.5,23-Jun-2017,2017,178.30,,Regional Banks,Primis Financial (NAS: FRST) (Georgia Derrico),Financial Services,Commercial Banks
Great Lakes Carbon,GREAT LAKES CARBON CORP,146332,0182B,100.0,31-Aug-2005,2005,178.00,,Industrial Chemicals,"BMO Nesbitt Burns, Genuity Capital Markets, National Bank of Canada (Montreall) (TSE: NA), RBC Dominion Securities, Scotiabank Global Banking and Markets, TD Securities",Materials and Resources,Chemicals and Gases
SkyMall,SKYMALL INC,64127,SKYM,100.0,16-May-2013,2013,177.80,,Media and Information Services (B2B),Xhibit (Chris Richarde),Business Products and Services (B2B),Commercial Services
Guilford Pharmaceuticals,GUILFORD PHARMACEUTICAL INC,30352,GLFD,97.87234042553192,03-Oct-2005,2005,177.50,,Drug Delivery,MGI Pharma,Healthcare,Pharmaceuticals and Biotechnology
Newlink Genetics,NEWLINK GENETICS CORP,186607,NLNK,100.0,18-Mar-2020,2020,177.30,,Laboratory Services (Healthcare),Lumos Pharma (Richard Hawkins),Healthcare,Healthcare Services
Alliant Pharmaceuticals,ALLIANCE PHARMACEUTICAL,11793,ALLP,91.30434782608697,12-Jun-2007,2007,177.00,,Pharmaceuticals,Sciele Pharma (Patrick Fourteau),Healthcare,Pharmaceuticals and Biotechnology
Sygate Technologies,ASANTE TECHNOLOGIES INC,29366,ASNL,89.47368421052632,10-Oct-2005,2005,176.90,,Application Software,Gen Digital (NAS: GEN),Information Technology,Communications and Networking
Centrue Financial,CENTRUE FINANCIAL CORP,63687,CFCB,100.0,09-Jun-2017,2017,176.60,Corporate Divestiture,Regional Banks,Midland States Bancorp (NAS: MSBI) (Leon Holschbach),Financial Services,Commercial Banks
Iota Biosciences,PROTEA BIOSCIENCES GROUP INC,19871,PRGBQ,88.23529411764706,29-Oct-2020,2020,176.50,,Biotechnology,Astellas Venture Management,Healthcare,Pharmaceuticals and Biotechnology
TransAtlantic Bank,TRANSATLANTIC HOLDINGS INC,23006,TRH,83.87096774193549,02-May-2007,2007,175.10,,Regional Banks,Banco Sabadell (MAD: SAB),Financial Services,Commercial Banks
ACON Laboratories,ADAC LABORATORIES,1115,ADAC.,88.23529411764706,01-Apr-2006,2006,175.00,,Diagnostic Equipment,Inverness Medical Technology,Healthcare,Healthcare Devices and Supplies
Avista Energy,ENERGY EAST CORP,7862,EAS,83.33333333333334,30-Jun-2007,2007,175.00,Corporate Divestiture,Electric Utilities,Shell (LON: SHEL) (Mark Hanafin),Energy,Utilities
Convergent Resources Holdings,EVERGREEN RESOURCES,20064,EVG.1,82.05128205128204,20-May-2014,2014,175.00,,"Accounting, Audit and Tax Services (B2B)",Account Control Technology (Jim Queen),Business Products and Services (B2B),Commercial Services
CORPAK MedSystems,CONOR MEDSYSTEMS INC,161926,CONR,84.84848484848484,02-May-2016,2016,175.00,,Surgical Devices,Avanos Medical (NYS: AVNS) (Robert Abernathy),Healthcare,Healthcare Devices and Supplies
Innovacon,INOVALON HOLDINGS INC,22708,INOV.1,82.35294117647058,31-Mar-2006,2006,175.00,Corporate Divestiture,Drug Delivery,Alere (Ron Zwanziger),Healthcare,Pharmaceuticals and Biotechnology
Interpreta,INTERPORE INTERNATIONAL,29459,BONZ.,84.21052631578947,27-Mar-2018,2018,175.00,,Biotechnology,Centene (NYS: CNC),Healthcare,Pharmaceuticals and Biotechnology
mindSHIFT Technologies,SHIFT TECHNOLOGIES INC,37213,SFTGQ,90.0,05-Jan-2012,2012,175.00,,IT Consulting and Outsourcing,Best Buy (NYS: BBY) (George Sherman),Information Technology,IT Services
Symyx Technologies,SYMYX TECHNOLOGIES INC,126601,SMMX,100.0,01-Jul-2010,2010,175.00,,Other Hardware,Dassault Systèmes BIOVIA,Information Technology,Computer Hardware
Tasty Baking,TASTY BAKING CO,10345,TSTY,88.88888888888889,20-May-2011,2011,175.00,,Food Products,Flowers Foods (NYS: FLO),Consumer Products and Services (B2C),Consumer Non-Durables
Aventine Renewable Energy Holdings,AVENTINE RENEWABLE ENERGY,165734,AVRW.1,100.0,01-Jul-2015,2015,174.57,,Commodity Chemicals,Alto Ingredients (NAS: ALTO) (Neil Koehler),Materials and Resources,Chemicals and Gases
RAIT Financial Trust,RAIT FINANCIAL TRUST,66281,RASFQ,100.0,26-Dec-2019,2019,174.40,,Real Estate Investment Trusts (REITs),Fortress Investment Group,Financial Services,Other Financial Services
Valera Pharmaceuticals,VALERA PHARMACEUTICALS INC,163121,VLRX.1,100.0,18-Apr-2007,2007,174.00,,Pharmaceuticals,Endo International,Healthcare,Pharmaceuticals and Biotechnology
Alpine Bancorporation,AMEGY BANCORPORATION INC,64301,ABNK.1,82.92682926829268,28-Feb-2018,2018,173.20,,Regional Banks,Midland States Bancorp (NAS: MSBI) (Leon Holschbach),Financial Services,Commercial Banks
Analex,ANALEX CORP,5422,NLX.2,100.0,01-Mar-2007,2007,173.00,,Government,QinetiQ Group (LON: QQ.),Business Products and Services (B2B),Other Business Products and Services
Elwood Energy,EFLO ENERGY INC,183235,EFLO,83.33333333333334,21-Nov-2016,2016,172.50,Corporate Divestiture,Energy Infrastructure,J-Power USA (John Salyer),Energy,Energy Services
Opnext,OPNEXT INC,176558,OPXT,100.0,23-Jul-2012,2012,172.45,,Electronic Equipment and Instruments,Oclaro,Information Technology,Computer Hardware
Bigband Networks,BIGBAND NETWORKS INC,176863,BBND,100.0,21-Nov-2011,2011,172.00,,Other Communications and Networking,Arris International,Information Technology,Communications and Networking
Inference Solutions,INTERTECH SOLUTIONS INC,186887,ITEC,84.21052631578947,18-Nov-2020,2020,172.00,,Business/Productivity Software,Five9 (NAS: FIVN),Information Technology,Software
Integrity Bancshares,INTEGRITY BANCSHARES INC,156584,ITYCQ,100.0,04-Mar-2015,2015,172.00,,Regional Banks,S&T Bancorp (NAS: STBA) (Todd Brice),Financial Services,Commercial Banks
Penwest Pharmaceuticals,PENWEST PHARMACEUTICALS CO,113533,PPCO,93.87755102040816,04-Nov-2010,2010,171.80,,Drug Delivery,Endo International,Healthcare,Pharmaceuticals and Biotechnology
ITA Holdings,ITA HOLDINGS INC,122101,ITAH,100.0,12-Aug-2014,2014,171.00,,Wireless Communications Equipment,PTC (NAS: PTC) (James Heppelmann),Information Technology,Communications and Networking
Vision Bancshares,MADISON BANCSHARES GROUP LTD,18835,MADB,85.71428571428572,09-Mar-2007,2007,171.00,Public to Private,Regional Banks,Park National (ASE: PRK) (David Trautman),Financial Services,Commercial Banks
Turbochef Technologies,TURBOCHEF TECHNOLOGIES INC,30008,OVEN,100.0,05-Jan-2009,2009,170.32,,Machinery (B2B),The Middleby (NAS: MIDD) (Selim Bassoul),Business Products and Services (B2B),Commercial Products
Azaya Therapeutics,LYRA THERAPEUTICS INC,36300,LYRA,82.75862068965517,15-Feb-2017,2017,170.00,,Biotechnology,Plus Therapeutics (NAS: PSTV) (Marc Hedrick),Healthcare,Pharmaceuticals and Biotechnology
Centra Financial Holdings,CENTRA FINANCIAL HOLDINGS,147948,CFHZ,100.0,08-Jul-2011,2011,170.00,,Regional Banks,United Bankshares (NAS: UBSI) (Richard Adams),Financial Services,Commercial Banks
Emmi Solutions,ARTEMIS INTL SOLUTIONS CORP,133728,3AMSI.,83.87096774193549,15-Nov-2016,2016,170.00,,Outcome Management (Healthcare),Wolters Kluwer (AMS: WKL) (Diana Nole),Healthcare,Healthcare Technology Systems
FirstBank NW,FIRSTBANK CORP,23107,FBMI,85.71428571428572,30-Nov-2006,2006,170.00,,Regional Banks,Sterling Financial (Harold Gilkey),Financial Services,Commercial Banks
Homestead Technologies,PHONETEL TECHNOLOGIES INC,14310,3PHTE,83.72093023255813,18-Dec-2007,2007,170.00,,Software Development Applications,Intuit (NAS: INTU),Information Technology,Software
ID Analytics,MYND ANALYTICS INC,179111,MYND.1,84.61538461538461,14-Mar-2012,2012,170.00,,Media and Information Services (B2B),Gen Digital (NAS: GEN),Business Products and Services (B2B),Commercial Services
Massbank,MASSBANK CORP,16924,MASB,100.0,03-Sep-2008,2008,170.00,,Regional Banks,Eastern Bankshares (NAS: EBC) (Richard Holbrook),Financial Services,Commercial Banks
NC Brands,CST BRANDS INC,17699,CST,84.21052631578947,28-Jan-2019,2019,170.00,,Specialty Chemicals,Chemtura (Biolab and Bayrol Business) (Jon Viner),Materials and Resources,Chemicals and Gases
Parlux Fragrances,PARLUX FRAGRANCES INC,13163,PARL,100.0,18-Apr-2012,2012,170.00,,Personal Products,Parlux Holdings ( Other Retail) (Michael Katz),Consumer Products and Services (B2C),Consumer Non-Durables
Speedo USA,SPEEDUS CORP,62046,SPDE,82.35294117647058,08-Apr-2020,2020,170.00,Corporate Divestiture,Clothing,Pentland Brands (Andrew Long),,
Summit America Television,SUMMIT AMERICA TELEVISON INC,24066,SATH,97.95918367346938,01-Jun-2006,2006,170.00,Corporate Divestiture,Other Retail,Jewelry Television,Consumer Products and Services (B2C),Retail
United Online,UNITED ONLINE INC,124198,UNTD,100.0,01-Jul-2016,2016,170.00,,Internet Service Providers,BRC Group Holdings (NAS: RILY) (Bryant Riley),Information Technology,Communications and Networking
CKP Insurance,EMC INSURANCE GROUP INC,16716,EMCI,84.61538461538461,01-Aug-2019,2019,169.69,,Other Insurance,Brown & Brown (NYS: BRO),Financial Services,Insurance
Atlantic Coast Financial,ATLANTIC COAST FINANCIAL CP,266216,ACFC,94.11764705882352,25-May-2018,2018,169.30,,Holding Companies,Ameris. (NYS: ABCB) (Edwin Hortman),Financial Services,Other Financial Services
iContact,INCONTACT INC,66268,SAAS,94.11764705882352,24-Feb-2012,2012,169.00,,Business/Productivity Software,Vocus (Maryland),Information Technology,Software
TAS Energy,TALOS ENERGY INC,17228,TALO,90.9090909090909,01-Apr-2020,2020,168.77,,Electrical Equipment,Comfort Systems USA (NYS: FIX) (Brian Lane),Business Products and Services (B2B),Commercial Products
Orthodyne Electronics,METHODE ELECTRONICS INC,7291,MEI,85.0,03-Oct-2008,2008,168.70,,Electrical Equipment,Kulicke and Soffa Industries (NAS: KLIC) (Scott Kulicke),Business Products and Services (B2B),Commercial Products
Seacoast Commerce Banc Holdings,SEACOAST COMMERCE BANC HLDG,156016,SCBH,89.79591836734694,12-Nov-2020,2020,168.67,,National Banks,Enterprise Financial Services (Clayton) (NAS: EFSC) (James Lally),Financial Services,Commercial Banks
Avesis,AVESIS INC,12405,AVSS,100.0,29-Jan-2016,2016,168.50,Public to Private,Managed Care,Guardian Life Insurance Company of America (Chris Swanker),Healthcare,Healthcare Services
Collin Bank,CAROLINA BANK HOLDINGS INC,65713,CLBH,83.33333333333334,30-Nov-2013,2013,168.00,,Regional Banks,Independent Financial (David Brooks),Financial Services,Commercial Banks
Greater Community Bancorp,GREATER COMMUNITY BANCORP,63318,GFLS,100.0,01-Jul-2008,2008,167.80,,Regional Banks,Valley National (NAS: VLY) (Gerald Lipkin),Financial Services,Commercial Banks
Ziprealty,ZIPREALTY INC,160503,ZIPR,100.0,14-Aug-2014,2014,167.00,,Real Estate Services (B2C),Anywhere Real Estate,Consumer Products and Services (B2C),Services (Non-Financial)
3 Arts Entertainment,CAESARS ENTERTAINMENT CORP,20423,CZR.3,82.92682926829268,29-May-2018,2018,166.60,,"Movies, Music and Entertainment",LionsGate Entertainment (Acquired) (Jon Feltheimer),Consumer Products and Services (B2C),Media
Enserco Energy,SEMCO ENERGY INC,9841,SEN.2,84.61538461538461,29-Feb-2012,2012,166.30,Corporate Divestiture,Energy Marketing,Twin Eagle (Griff Jones),Energy,Energy Services
Microtune,MICROTUNE INC,135805,TUNE.1,100.0,01-Dec-2010,2010,166.00,,General Purpose Semiconductors,Zoran,Information Technology,Semiconductors
Thomas Medical Products,UTAH MEDICAL PRODUCTS INC,11051,UTMD,86.36363636363636,19-Dec-2012,2012,165.62,Corporate Divestiture,Surgical Devices,Merit Medical Systems (NAS: MMSI) (Fred Lampropoulos),Healthcare,Healthcare Devices and Supplies
BWC Financial,BWC FINANCIAL CORP,31894,BWCF,100.0,16-Oct-2006,2006,165.00,,Regional Banks,First Republic Bank (National Banks) (PINX: FRCB),Financial Services,Commercial Banks
Hemosense,HEMOSENSE INC,163672,HEM,100.0,07-Nov-2007,2007,165.00,,Surgical Devices,Alere,Healthcare,Healthcare Devices and Supplies
Mast Therapeutics,MAST THERAPEUTICS,63790,MSTX.1,100.0,27-Apr-2017,2017,165.00,,Drug Discovery,Savara (NAS: SVRA) (Robert Neville),Healthcare,Pharmaceuticals and Biotechnology
MPD Chemicals,KMG CHEMICALS INC,64848,KMG,84.61538461538461,15-Jul-2019,2019,165.00,,Specialty Chemicals,Entegris (NAS: ENTG) (Bertrand Loy),Materials and Resources,Chemicals and Gases
MCG Capital,MCG CAPITAL CORP,146114,MCGC,100.0,18-Aug-2015,2015,164.90,,Private Equity,,Financial Services,Capital Markets/Institutions
Potenza Therapeutics,PROTEON THERAPEUTICS INC,21802,PRTO,88.23529411764706,14-Dec-2018,2018,164.60,,Other Pharmaceuticals and Biotechnology,Astellas Pharma (TKS: 4503) (Kenji Yasukawa),Healthcare,Pharmaceuticals and Biotechnology
Optical Communication Products,OPTICAL COMMUNICATION PRODS,141007,OCPI,94.73684210526316,31-Oct-2007,2007,164.15,Corporate Divestiture,Fiberoptic Equipment,Oplink Communications (Joe Liu),Information Technology,Communications and Networking
Dimension Therapeutics,DIMENSION THERAPEUTICS INC,26197,DMTX,100.0,07-Nov-2017,2017,164.12,,Drug Discovery,"Regenxbio (NAS: RGNX), Ultragenyx Pharmaceutical (NAS: RARE) (Emil Kakkis)",Healthcare,Pharmaceuticals and Biotechnology
Coley Pharmaceutical Group,COLEY PHARMACEUTICAL GROUP,163888,COLY,100.0,25-Jan-2008,2008,164.00,,Drug Discovery,Pfizer (Pharmaceuticals) (NYS: PFE),Healthcare,Pharmaceuticals and Biotechnology
Priority Solutions International,PRIMIX SOLUTIONS INC,63233,PMIX,82.35294117647058,03-Oct-2007,2007,164.00,,Distributors (Healthcare),Thermo Fisher Scientific (NYS: TMO),Healthcare,Healthcare Services
Xtend Healthcare,NEXTGEN HEALTHCARE INC,8858,NXGN,88.23529411764706,22-Oct-2015,2015,164.00,,BPO/Outsource Services,Navient (NAS: NAVI) (John Kane),Business Products and Services (B2B),Commercial Services
ATCO Rubber Products,R B RUBBER PRODUCTS INC,31791,RBBR,82.05128205128204,02-Jul-2018,2018,163.40,,Industrial Supplies and Parts,Mueller Industries (NYS: MLI) (Jeffrey Martin),Business Products and Services (B2B),Commercial Products
MX Logic,XO LOGIC INC,3668,DTGP,87.5,01-Sep-2009,2009,163.10,,Network Management Software,McAfee (John McAfee),Information Technology,Software
Everlast Worldwide,EVERLAST WORLDWIDE INC,31763,EVST,100.0,20-Sep-2007,2007,163.06,Corporate Divestiture,Clothing,Frasers Group (LON: FRAS) (Dave Forsey),Consumer Products and Services (B2C),Apparel and Accessories
ICG Communications,ICG COMMUNICATIONS,25053,3ICGC,100.0,31-May-2006,2006,163.00,,Telecommunications Service Providers,Level 3 Communications,Information Technology,Communications and Networking
Bellco Health,BELLUS HEALTH INC,137090,BLU,84.61538461538461,01-Oct-2007,2007,162.20,,Distributors (Healthcare),Cencora (NYS: COR) (R. Yost),Healthcare,Healthcare Services
HCC Industries,CCA INDUSTRIES INC,11930,CAWW,92.85714285714286,10-Oct-2005,2005,162.00,Distressed Acquisition,Industrial Supplies and Parts,AMETEK (NYS: AME) (Frank Hermance),Business Products and Services (B2B),Commercial Products
Greensmith Energy,GREEN ST. ENERGY INC,25118,GSTY,87.5,03-Jul-2017,2017,161.92,,Business/Productivity Software,Wärtsilä (HEL: WRT1V),Information Technology,Software
Javelin Pharmaceuticals,JAVELIN PHARMACEUTICALS INC,143892,JAV,100.0,01-Jul-2010,2010,161.90,,Pharmaceuticals,Pfizer Hospital (Irving Bailey),Healthcare,Pharmaceuticals and Biotechnology
The Vitamin Shoppe,VITAMIN SHOPPE INC,178201,VSI,87.5,16-Dec-2019,2019,161.80,,Food Products,Franchise Group (Andrew Laurence),Consumer Products and Services (B2C),Consumer Non-Durables
Chordiant Software,CHORDIANT SOFTWARE INC,130040,CHRD.,100.0,15-Mar-2010,2010,161.50,,Automation/Workflow Software,Pegasystems (NAS: PEGA),Information Technology,Software
Nu Horizons Electronics,NU HORIZONS ELECTRONICS CORP,8017,NUHC,100.0,03-Jan-2011,2011,161.10,,Distributors/Wholesale,Arrow Electronics (NYS: ARW) (Michael Long),Business Products and Services (B2B),Commercial Products
Everlast Energy,VERASUN ENERGY CORP,165731,VSUNQ,82.75862068965517,13-Jun-2005,2005,161.00,,Energy Exploration,Constellation Energy (NAS: CEG),Energy,"Exploration, Production and Refining"
Irix Pharmaceuticals,NRX PHARMACEUTICALS INC,38874,NRXP,92.3076923076923,31-Mar-2015,2015,161.00,,Pharmaceuticals,Patheon (Acquired in 2014),Healthcare,Pharmaceuticals and Biotechnology
Triton Digital,DIGITAL TURBINE INC,9551,APPS,82.75862068965517,30-Nov-2018,2018,160.21,,Media and Information Services (B2B),The E.W. Scripps (NAS: SSP) (Adam Symson),Business Products and Services (B2B),Commercial Services
Caiman Energy,CANAAN ENERGY CORP,140837,KNAN,84.61538461538461,18-Nov-2020,2020,160.00,,Energy Transportation,Williams Partners,Energy,Energy Services
Camstar,AMISTAR CORP,1606,AMTA,85.71428571428572,15-Oct-2014,2014,160.00,,Automation/Workflow Software,Siemens (ETR: SIE),Information Technology,Software
Cellective Therapeutics,PERSPECTIVE THERAPEUTICS INC,12818,CATX,82.92682926829268,17-Oct-2005,2005,160.00,,Drug Discovery,MedImmune,Healthcare,Pharmaceuticals and Biotechnology
DCG Systems,CSG SYSTEMS INTL INC,62266,CSGS,90.9090909090909,10-Dec-2015,2015,160.00,,Other Semiconductors,Field Electron and Ion,Information Technology,Semiconductors
Drewry Communications,NEWS COMMUNICATIONS,22659,NWCM,85.0,01-Dec-2015,2015,160.00,,"Broadcasting, Radio and Television",Raycom Media (Paul McTear),Consumer Products and Services (B2C),Media
